-6.204172226666919698e-01,3.456368392437025872e-02
-6.191265035476778422e-01,3.924662363860521863e-02
-6.180864036376689796e-01,4.291581178953091102e-02
-6.177026524049238354e-01,4.503279251671769845e-02
-6.173449333075355927e-01,4.627383388174449719e-02
-6.172296713196714357e-01,4.723254890391792582e-02
-6.170635550542458159e-01,4.784328324009791411e-02
-6.170257900481463942e-01,4.843543172775054140e-02
-6.172448816383198089e-01,4.920359408868699158e-02
-6.173626301005197270e-01,4.990307040324447330e-02
-6.171720502711269818e-01,5.028801288258619162e-02
-6.171006451486266142e-01,5.080670464592071389e-02
-6.170620818458620871e-01,5.135496126700518638e-02
-6.168180571593511186e-01,5.165901139711608081e-02
-6.166006667779593275e-01,5.205279091854583817e-02
-6.163622599201790120e-01,5.236041178302808241e-02
-6.162693741988931606e-01,5.223655357572906666e-02
-6.160169996579727414e-01,5.210751706251591509e-02
-6.154181940317702271e-01,5.192221244605020603e-02
-6.147006555291729679e-01,5.158606766622721163e-02
-6.146411928433807015e-01,5.139444126187085737e-02
-6.146229109171403859e-01,5.136444722750634073e-02
-6.146425483964781389e-01,5.146077601140658375e-02
-6.149270598391605169e-01,5.178202640438310522e-02
-6.148356939818178102e-01,5.199887326141801325e-02
-6.147803299997114390e-01,5.241193566958912697e-02
-6.146396816452825984e-01,5.235663929820455476e-02
-6.143316565318165390e-01,5.209710603934528117e-02
-6.141172771928034013e-01,5.199324544556911676e-02
-6.140754937997768836e-01,5.210333600936414844e-02
-6.139529586844616471e-01,5.236954734924920141e-02
-6.136789464060017352e-01,5.218726557071406980e-02
-6.133289727647707190e-01,5.180412664129079026e-02
-6.130067190429101531e-01,5.159517237201891038e-02
-6.126879470433473918e-01,5.108114588612144846e-02
-6.121717488315689959e-01,5.002967720947668062e-02
-6.113625189966278572e-01,4.857992918387253611e-02
-6.108904456613537537e-01,4.872733652848902641e-02
-6.104260430237349322e-01,4.844282856535883641e-02
-6.105524898667198386e-01,4.879184446865147962e-02
-6.106185915800583786e-01,4.852137713208340419e-02
-6.104633897473377147e-01,4.825510413533218301e-02
-6.099891570136803942e-01,4.789996516252557901e-02
-6.100873696333193319e-01,4.776776773136426346e-02
-6.104826915449095281e-01,4.877559268550964167e-02
-6.104375360142382245e-01,4.838405981671020650e-02
-6.100575615884686886e-01,4.831639901598640263e-02
-6.093871679623569237e-01,4.687988002171857016e-02
-6.087068794353078793e-01,4.526866875502774668e-02
-6.086812530280125699e-01,4.392126502795244691e-02
-6.077248686788072618e-01,4.284144369648786033e-02
-6.078483325735062337e-01,4.288444872327394630e-02
-6.082503134969410308e-01,4.312599660283329694e-02
-6.085124318875201332e-01,4.289989829127108245e-02
-6.085365083471325764e-01,4.248432612050259682e-02
-6.085692313004392728e-01,4.228280609479792562e-02
